"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
"am-AM_Acanthamoeba_castellanii_",1.58385367954339,1.71107120831768,1.28932508478966,1.20044568912033,1.4385456854512,1.88732358577667,1.10250004854156,1.11336728407535,2.19552946444149,1.34378140654553,1.55011666425595,1.45128078743866,1.24150666380243,1.69681667298454,1.47004577976916,1.80111845867913,1.52001056526406,1.31060742411283,1.42095142738981,1.35761985318699,1.44528667483186,1.25261024971803,1.53548486798945,1.15948789692885,1.62531825302836,1.26201807127409,2.01864994134927,1.11394057063375,1.46525818245895,1.41311345896559,1.28189799485153,1.3894770241298,1.20204733412293,1.24500195132461,1.47484870155738,1.39285614884732,1.27073202430333,1.20379772577868,1.52414556870094,1.34745265348649,1.32423342924679,1.16352614940572,1.16148453056445,1.4052213343735,1.42949483698077,1.27675990167878,1.37843568639764,1.85107214948381,1.49093795260214,1.56868834761639,1.39535614855581,1.5570385975173,1.20498058001957,1.63586741874952,1.48844691842405,1.26863643959971,1.27066855519886,1.2586973276104,1.29575316731284,1.29192841946635,1.43550446170345,1.49511516780293,1.6213422552805,1.36208043889294,1.52232987738255,1.50104387167013,1.1598840332819,1.24559370684743,1.14443428013095,1.30231596190818,1.05775577904401,1.26594761019194,1.39530511218583,1.22115288607219,1.14024431493887,1.24219098879754
"am-AM_Acytostelium_subglobosum_",1.21159881602072,1.26682212558186,1.10532083437299,1.07088514328871,1.27159802977937,1.32127705754847,1.06253975779205,1.05645679951066,1.24302151531543,1.16537732146325,1.20225311367738,1.16749055517683,1.11291317342476,1.20859045920952,1.11708451316388,1.38364724786721,1.18899037539939,1.13183096248271,1.13577512849272,1.07152147511047,1.18850168984891,1.10327851015598,1.11175368148506,1.13562535848037,1.15323863062427,1.1265233750729,1.3383267377523,1.05852579239866,1.26384397665507,1.0895516138558,1.12628680556289,1.20025311743601,1.10450771400726,1.11388107146441,1.15142677898401,1.12108853890578,1.16071304866056,1.10462332331861,1.20487190053505,1.17282449828648,1.19018238592654,1.05925343482329,1.07510946001925,1.12823411794948,1.15576015135073,1.1446062236646,1.18203452872262,1.21806977626486,1.21418850116661,1.12561543972998,1.13480117375794,1.28328370873578,1.07313895082669,1.19038406229424,1.21417502698047,1.15003724319789,1.11774207204339,1.16952284484718,1.15801084208335,1.05997767917425,1.18510882531136,1.22958334234582,1.13070748110816,1.27668848063156,1.39219211935283,1.40928618068535,1.04764193831698,1.10513190554522,1.07947935461723,1.07541570928789,1.03518083356454,1.10445896619203,1.14619719160602,1.16231997203904,1.07127615058919,1.07177976063619
"am-AM_Dictyostelium_discoideumB_",1.21159881602072,1.26682212558186,1.10532083437299,1.07088514328871,1.27159802977937,1.32127705754847,1.06253975779205,1.05645679951066,1.24302151531543,1.16537732146325,1.20225311367738,1.16749055517683,1.11291317342476,1.20859045920952,1.11708451316388,1.38364724786721,1.18899037539939,1.13183096248271,1.13577512849272,1.07152147511047,1.18850168984891,1.10327851015598,1.11175368148506,1.13562535848037,1.15323863062427,1.1265233750729,1.3383267377523,1.05852579239866,1.26384397665507,1.0895516138558,1.12628680556289,1.20025311743601,1.10450771400726,1.11388107146441,1.15142677898401,1.12108853890578,1.16071304866056,1.10462332331861,1.20487190053505,1.17282449828648,1.19018238592654,1.05925343482329,1.07510946001925,1.12823411794948,1.15576015135073,1.1446062236646,1.18203452872262,1.21806977626486,1.21418850116661,1.12561543972998,1.13480117375794,1.28328370873578,1.07313895082669,1.19038406229424,1.21417502698047,1.15003724319789,1.11774207204339,1.16952284484718,1.15801084208335,1.05997767917425,1.18510882531136,1.22958334234582,1.13070748110816,1.27668848063156,1.39219211935283,1.40928618068535,1.04764193831698,1.10513190554522,1.07947935461723,1.07541570928789,1.03518083356454,1.10445896619203,1.14619719160602,1.16231997203904,1.07127615058919,1.07177976063619
"am-AM_Dictyostelium_purpureum_",1.21159881602072,1.26682212558186,1.10532083437299,1.07088514328871,1.27159802977937,1.32127705754847,1.06253975779205,1.05645679951066,1.24302151531543,1.16537732146325,1.20225311367738,1.16749055517683,1.11291317342476,1.20859045920952,1.11708451316388,1.38364724786721,1.18899037539939,1.13183096248271,1.13577512849272,1.07152147511047,1.18850168984891,1.10327851015598,1.11175368148506,1.13562535848037,1.15323863062427,1.1265233750729,1.3383267377523,1.05852579239866,1.26384397665507,1.0895516138558,1.12628680556289,1.20025311743601,1.10450771400726,1.11388107146441,1.15142677898401,1.12108853890578,1.16071304866056,1.10462332331861,1.20487190053505,1.17282449828648,1.19018238592654,1.05925343482329,1.07510946001925,1.12823411794948,1.15576015135073,1.1446062236646,1.18203452872262,1.21806977626486,1.21418850116661,1.12561543972998,1.13480117375794,1.28328370873578,1.07313895082669,1.19038406229424,1.21417502698047,1.15003724319789,1.11774207204339,1.16952284484718,1.15801084208335,1.05997767917425,1.18510882531136,1.22958334234582,1.13070748110816,1.27668848063156,1.39219211935283,1.40928618068535,1.04764193831698,1.10513190554522,1.07947935461723,1.07541570928789,1.03518083356454,1.10445896619203,1.14619719160602,1.16231997203904,1.07127615058919,1.07177976063619
"am-AM_Filamoeba_nolandi_",1.16092812706115,1.17632424173259,1.09511479959058,1.04942569147068,1.1717607551164,1.11809504958205,1.04985904078978,1.03091801232017,1.14265856872186,1.12055819723831,1.15472109730766,1.1280605004902,1.06387750600039,1.07613823172328,1.0932924465533,1.13697616516348,1.22079540385441,1.10266312680422,1.06415880863613,1.04654914799525,1.13891468406802,1.05124962206185,1.05035972004439,1.09404862409393,1.09572956058598,1.09627211914899,1.24272346539089,1.03341786664775,1.1405383368754,1.05794839287269,1.0966984317124,1.14905291037854,1.07274460580442,1.0907218614393,1.10219315689925,1.08861171615529,1.14753374545342,1.04518813236701,1.13563521691763,1.08412767570221,1.14297037688575,1.01891892684539,1.05340818611227,1.08146077774158,1.16894869091525,1.17407287157056,1.13852882336579,1.15004157626797,1.12761990594619,1.07084946021212,1.10902493365736,1.20751405390209,1.04537228671354,1.13486157885511,1.13087926404167,1.08752113378452,1.09307416296755,1.10652770140585,1.1091154180349,1.03414460279123,1.12246396186587,1.14153327960931,1.09743906685069,1.1693115814452,1.24990221249992,1.25446463436402,1.03432274166291,1.08028506712121,1.0419790746885,1.0730014830592,1.02280848783858,1.0662848196249,1.11783349224185,1.11127011169831,1.04249813524499,1.07729594157365
"am-AM_Polysphondylium_pallidum_",1.21159881602072,1.26682212558186,1.10532083437299,1.07088514328871,1.27159802977937,1.32127705754847,1.06253975779205,1.05645679951066,1.24302151531543,1.16537732146325,1.20225311367738,1.16749055517683,1.11291317342476,1.20859045920952,1.11708451316388,1.38364724786721,1.18899037539939,1.13183096248271,1.13577512849272,1.07152147511047,1.18850168984891,1.10327851015598,1.11175368148506,1.13562535848037,1.15323863062427,1.1265233750729,1.3383267377523,1.05852579239866,1.26384397665507,1.0895516138558,1.12628680556289,1.20025311743601,1.10450771400726,1.11388107146441,1.15142677898401,1.12108853890578,1.16071304866056,1.10462332331861,1.20487190053505,1.17282449828648,1.19018238592654,1.05925343482329,1.07510946001925,1.12823411794948,1.15576015135073,1.1446062236646,1.18203452872262,1.21806977626486,1.21418850116661,1.12561543972998,1.13480117375794,1.28328370873578,1.07313895082669,1.19038406229424,1.21417502698047,1.15003724319789,1.11774207204339,1.16952284484718,1.15801084208335,1.05997767917425,1.18510882531136,1.22958334234582,1.13070748110816,1.27668848063156,1.39219211935283,1.40928618068535,1.04764193831698,1.10513190554522,1.07947935461723,1.07541570928789,1.03518083356454,1.10445896619203,1.14619719160602,1.16231997203904,1.07127615058919,1.07177976063619
"am-AMCory_Diplochlamys_sp_",1.93294686179866,1.94328639337177,1.32224689677812,1.19873801608905,1.38148762830945,1.73288369786333,1.2780560504645,1.80743509148829,1.41156645015539,1.35632928656748,1.80543622306993,1.61443715159784,1.30058611530944,1.54143219271475,1.3151231737765,1.84399300331681,1.73565256688114,1.52221828593187,1.47771355779916,1.28638988626009,1.52038788322678,1.3445305921398,1.34562031388999,1.25725949631197,1.44276120705959,1.57118876562144,1.89538108289618,1.0967331901908,1.70967861231022,1.36750157224198,1.33060863246862,1.33094636724922,1.37711186703448,1.24119760476617,1.50404610994827,1.27036234301553,1.58251136900068,1.20518184579344,1.75456498022033,1.45912875679661,1.65437752691133,1.28235692197612,1.22898202244568,1.39067501462427,1.29652698247668,1.3106678356243,1.43454771225256,1.29864724905608,1.48924874059535,1.34456320769694,1.41897079002672,1.42338224277849,1.31135351616132,1.58828254756789,1.3053862255787,1.38854580993269,1.26581023878097,1.52092387706732,1.66847204874607,1.22333775366627,1.40291405059265,1.4817852361091,1.38693555859334,1.57092200018257,1.64249425987246,1.46587370001314,1.13805576370317,1.25094722443415,1.28814047043918,1.24827734785293,1.11580888181569,1.24059979015167,1.50367529903042,1.72487073016074,1.18383349209259,1.14278199386365
"am-AMCory_Trichosphaerium_sp_",1.93517656617842,1.96392263670891,1.2773693256435,1.18604984393247,1.38259962337749,1.76694848206513,1.28281021552881,1.79900312975942,1.40675275447979,1.3401614251886,1.77798390939666,1.62131100572876,1.28622786588808,1.48135706272791,1.29569284773407,1.84533986560265,1.77923056668445,1.52960885225814,1.46597373648979,1.25866090993353,1.5272490163502,1.33696231102246,1.33969766942992,1.25841122013257,1.4352440355167,1.55690805944235,1.9318974187698,1.09383009853453,1.67917677410421,1.355861770285,1.32136787633105,1.32810734068349,1.36572765076602,1.23189156473608,1.46425295415227,1.25979251755828,1.54433402768491,1.2035855196584,1.75563837807594,1.48156316962497,1.66580931997757,1.28602309296011,1.21888289086544,1.39266325471295,1.28612051442894,1.29146940022825,1.3816061450825,1.29248177529899,1.52023159814942,1.33612332247059,1.39613157320672,1.39767435221377,1.3059767581558,1.56109506848786,1.31028444922357,1.36767690886603,1.24527987692702,1.49526268248915,1.67084000784882,1.22597605159762,1.37963242006268,1.46466560887407,1.38464098692847,1.54332197880341,1.626112677307,1.44588149334514,1.13349153291186,1.22691939970039,1.2787183734853,1.24588384571751,1.11011896077207,1.23010132282514,1.50771956170452,1.70856998543403,1.16943907317433,1.12223900448427
"am-AMEchi_Echinamoeba_exudans_",1.6548807367936,1.77597580420313,1.54254914629159,1.32625620972661,1.80686376182199,1.97005132722321,1.41882948375714,1.41660145037901,1.81526303004315,1.73946596083813,1.72304844389829,1.84340432836029,1.37935967731981,1.56656802242942,1.50173709751422,1.69867548017384,1.73005865851849,1.55104059967154,1.44714058504797,1.36917752177012,1.44698752087481,1.46717973423141,1.38558083534197,1.33206282358031,1.51919312315561,1.36075721700262,1.7541204724003,1.24267792577615,1.61912559560293,1.37998306282655,1.64407068305283,1.44172702226435,1.41585993664048,1.27117703786736,1.78259211203649,1.59460154330411,1.42888125082322,1.30382734212729,1.81749140427456,1.39307358065706,1.57837141923205,1.26079122615942,1.36924082184399,1.52478589371082,1.52307809430234,1.43713511124285,1.5091897709916,1.70352908435011,1.42073682961349,1.51523389130041,1.50467229323345,1.64306258239898,1.28337994758194,1.52602974269414,1.65134548930348,1.48552666881961,1.30115665212939,1.40125847058557,1.55483600775013,1.46318102338259,1.54895470608034,1.69025846112436,1.47226935804766,1.67016401304539,1.90574645734056,1.74645164011639,1.25705971232985,1.33952444948071,1.29823194647383,1.40384522485417,1.1077453094063,1.27701531489355,1.50165003018225,1.42397106065804,1.23448611337036,1.35096962175792
"am-AMEchi_Vermamoeba_vermiformis_",1.56698742046855,1.75270887440112,1.55866151648507,1.36841569860944,1.71887396274054,2.06549662530784,1.42675556708505,1.39520085182174,1.77144356367545,1.66811918555193,1.59500270430301,1.86933673333896,1.36345035006848,1.47851030295507,1.53691475020348,1.70478983110764,1.74675638826743,1.49029852951876,1.45190711793166,1.39440503502547,1.46863620703907,1.42711831883414,1.39057543476912,1.31935701234676,1.52304073294042,1.37110229144702,1.7864171203298,1.25950834658838,1.63430010678361,1.35362569087568,1.63469581400909,1.40409220699016,1.35652720887409,1.2866175199096,1.7278997240765,1.53608021637219,1.49895412084988,1.30622095539512,1.91151331120829,1.41096388938183,1.55449760608741,1.25368395320048,1.32171168785246,1.51538373722539,1.46053986806844,1.37238398991643,1.40909835977611,1.7139107143209,1.42844956073342,1.46807336133255,1.48913414312976,1.51169852091788,1.2766015379326,1.63973255396683,1.67103878269064,1.40491387175173,1.32086679029093,1.47311266075004,1.53842184758586,1.43715203395852,1.55712168487759,1.61731360731814,1.45883445741164,1.66893431523632,1.96647286351161,1.70320068277806,1.21994746157346,1.30414337797069,1.27243505111233,1.44006131572276,1.08960181247201,1.27311947322674,1.49055017982932,1.41155488406652,1.21713821251824,1.28609621805614
